R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total
1;Krucker Dario;EHC Frauenfeld;Stuermer;13;8;4;12;0.92;6
2;Bolli Renzo;EHC Frauenfeld;Stuermer;16;7;4;11;0.69;22
3;Zellweger Marco;EHC Frauenfeld;Verteidiger;15;5;5;10;0.67;8
4;Kuenzler Sandro;EHC Frauenfeld;Stuermer;10;6;2;8;0.80;20
5;Anderhalden Thomas;EHC Frauenfeld;Stuermer;16;5;3;8;0.50;32
6;Fuellemann Oliver;EHC Frauenfeld;Stuermer;17;4;4;8;0.47;8
7;Brugger Cyrill;EHC Frauenfeld;Stuermer;16;4;2;6;0.38;10
8;Goldinger Robin;EHC Frauenfeld;Stuermer;15;2;3;5;0.33;20
9;Schaer Luca;EHC Frauenfeld;Stuermer;6;2;1;3;0.50;27
10;Streuli Michael;EHC Frauenfeld;Stuermer;10;2;1;3;0.30;6
11;Keller Sasha;EHC Frauenfeld;Stuermer;12;1;2;3;0.25;6
12;Germann Luca;EHC Frauenfeld;Stuermer;16;1;1;2;0.12;18
13;Ammann Patrick;EHC Frauenfeld;Stuermer;14;0;2;2;0.14;2
14;Trachsel Matthias;EHC Frauenfeld;Stuermer;9;1;0;1;0.11;0
15;Hangartner Rico;EHC Frauenfeld;Verteidiger;14;0;1;1;0.07;4
16;Koch Samuel;EHC Frauenfeld;Stuermer;16;0;1;1;0.06;8
17;Widler Simon;EHC Frauenfeld;Verteidiger;7;0;0;0;0.00;0
18;Frei Yannick;EHC Frauenfeld;Verteidiger;9;0;0;0;0.00;2
19;Mischler Adrian;EHC Frauenfeld;Stuermer;10;0;0;0;0.00;18
20;Prokesch Magnus;EHC Frauenfeld;Verteidiger;10;0;0;0;0.00;33
21;Pano Fabian;EHC Frauenfeld;Verteidiger;11;0;0;0;0.00;8
22;Smanio Manuel;EHC Frauenfeld;Stuermer;11;0;0;0;0.00;10
